"Date","Price","Open","High","Low","Vol.","Change %"
"10/19/2018","14.650","14.600","14.740","14.580","57.03K","0.31%"
"10/18/2018","14.604","14.625","14.680","14.470","76.14K","-0.40%"
"10/17/2018","14.663","14.675","14.760","14.615","59.83K","-0.26%"
"10/16/2018","14.701","14.725","14.880","14.640","67.28K","-0.18%"
"10/15/2018","14.727","14.625","14.805","14.615","64.04K","0.63%"
"10/12/2018","14.635","14.620","14.735","14.540","70.70K","0.20%"
"10/11/2018","14.606","14.335","14.650","14.275","97.85K","1.95%"
"10/10/2018","14.326","14.420","14.455","14.255","61.50K","-0.51%"
"10/09/2018","14.400","14.420","14.470","14.285","65.02K","0.50%"
"10/08/2018","14.329","14.665","14.700","14.285","88.56K","-2.18%"
"10/05/2018","14.649","14.620","14.750","14.540","61.93K","0.40%"
"10/04/2018","14.590","14.665","14.805","14.560","77.16K","-0.55%"
"10/03/2018","14.670","14.730","14.855","14.650","66.41K","-0.16%"
"10/02/2018","14.693","14.535","14.950","14.470","106.11K","1.28%"
"10/01/2018","14.507","14.725","14.725","14.395","84.97K","-1.39%"
"09/28/2018","14.712","14.270","14.755","14.255","117.07K","2.95%"
"09/27/2018","14.290","14.375","14.480","14.195","87.46K","-0.77%"
"09/26/2018","14.401","14.500","14.545","14.340","88.58K","-0.63%"
"09/25/2018","14.493","14.295","14.595","14.250","97.95K","1.06%"
"09/24/2018","14.341","14.325","14.420","14.220","65.87K","-0.13%"
"09/21/2018","14.359","14.350","14.465","14.180","103.37K","0.38%"
"09/20/2018","14.305","14.285","14.385","14.210","87.10K","0.18%"
"09/19/2018","14.280","14.185","14.375","14.175","79.41K","0.67%"
"09/18/2018","14.185","14.230","14.265","14.105","69.08K","-0.27%"
"09/17/2018","14.223","14.095","14.285","14.065","56.91K","0.57%"
"09/14/2018","14.142","14.215","14.315","14.070","66.73K","-0.72%"
"09/13/2018","14.244","14.295","14.390","14.190","82.53K","-0.34%"
"09/12/2018","14.293","14.160","14.315","14.105","83.95K","0.99%"
"09/11/2018","14.153","14.200","14.265","13.965","81.31K","-0.20%"
"09/10/2018","14.181","14.160","14.285","14.110","54.12K","0.08%"
"09/07/2018","14.170","14.190","14.290","14.105","81.29K","-0.08%"
"09/06/2018","14.181","14.220","14.340","14.130","72.88K","-0.27%"
"09/05/2018","14.220","14.190","14.265","14.125","67.29K","0.28%"
"09/03/2018","14.180","14.540","14.550","14.035","141.42K","-2.59%"
"08/31/2018","14.557","14.595","14.760","14.525","62.90K","-0.25%"
"08/30/2018","14.594","14.780","14.825","14.545","81.13K","-0.70%"
"08/29/2018","14.697","14.650","14.725","14.585","68.75K","-0.52%"
"08/28/2018","14.774","14.860","14.950","14.605","95.48K","-0.57%"
"08/27/2018","14.859","14.820","14.885","14.715","70.95K","0.44%"
"08/24/2018","14.794","14.465","14.855","14.450","97.52K","1.73%"
"08/23/2018","14.542","14.750","14.750","14.450","92.20K","-1.41%"
"08/22/2018","14.750","14.770","14.875","14.670","97.02K","-0.11%"
"08/21/2018","14.766","14.735","14.830","14.700","69.40K","0.65%"
